SKU,Product name,Description & Features,Selling Price,Brand,Category
TSDLI0403,Cordless screwdriver,"Voltage:4V
Hex Shank:1/4""
No-load speed:240/min
Max.torque:4N.m
Integrated work light
Charge level indicator
With 40pcs 25mm Cr-V bits+Holder
With 1pcs 50mm Cr-V bits+Holder
With 5pcs magnetic bit holder
Packed by plastic box",6200,TOTAL,Power Tools
TSDLI0406,Cordless screwdriver,"Voltage:4V
Hex Shank:1/4""
No-load speed:240rpm
Max torque:5Nm
Integrated work light
Charge level indicator
Charging via USB type-C cable(cable sold separately)
Include:
40 Pcs 25mm Cr-V bits+Holder
1 Pcs 50mm Cr-V bits+Holder
1 Pcs connector
Packed by carrying case",6200,TOTAL,Power Tools
TMGLI0801,Cordless grinder,"Voltage: 8V
No-load speed: 5000-28000rpm
Charging via USB type-C cable(cable sold separately)
Collet size: 3.2mm
Variable speed control
67 Pcs accessories
1 Pcs safe guard
Packed by canvas bag",11800,TOTAL,Power Tools
TBLI12152,Cordless battery pack,"Volts:12V
Lithium-Ion 1.5Ah battery
One battery fits all S12 multiple tools
Packed by color box",2800,TOTAL,Batteries & Chargers
TCLI12071,Charger,"Charge volts: 220V-240V~50/60Hz 
Charging time:2Hr charger
Packed by color box",1500,TOTAL,Batteries & Chargers
TDLI12456,Cordless drill,"Voltage:12V
No-load speed:0-750rpm
Max torque:20Nm
Plastic chuck
Chuck capacity:0.8-10mm(1/32-3/8"") 
Torque settings:15+1
Include:
1 Pcs Cr-V 65mm bit
1pcs 1.5Ah battery pack(TBLI12153)
Battery charging port: USB type-C
Charger sold separately
Packed by color box",7700,TOTAL,Power Tools
TDLI12428,Cordless drill,"Voltage:12V
No-load speed:0-750rpm
Max torque:20Nm
Plastic chuck
Chuck capacity:0.8-10mm(1/32-3/8"") 
Torque settings:15+1
Integrated work light
Include:
1 Pcs 1.5Ah battery pack(TBLI12153)
Battery charging port: USB type-C
Charger sold separately
Packed by color box",7700,TOTAL,Power Tools
TDLI122061,Cordless drill,"Voltage: 12V
No-load speed: 0-400/0-1500rpm
Max torque: 20Nm
Plastic chuck
Chuck capacity: 0.8-10mm
Torque settings: 15+1
Mechanical 2-speed gear
Integrated LED work light
Include:
1 Pcs Cr-V 65mm bit
1 Pcs 1.5Ah battery pack(TBLI12153)
Battery charging port: USB type-C
Charger sold separately
Packed by color box",9300,TOTAL,Power Tools
TDLI12206,Cordless drill,"Voltage: 12V
No-load speed: 0-400/0-1500rpm
Max torque: 20Nm
Plastic chuck
Chuck capacity: 0.8-10mm
Torque settings: 15+1
Mechanical 2-speed gear
Integrated LED work light
Include:
1 Pcs Cr-V 65mm bit
2 Pcs 1.5Ah battery pack(TBLI12153)
Battery charging port: USB type-C
Charger sold separately
Packed by carrying case",11200,TOTAL,Power Tools
TIDLI12202,Cordless impact drill,"Voltage: 12V
No-load speed: 400/0-1500rpm
Max impact rate: 22500bpm
Max torque: 20Nm
Plastic chuck
Chuck capacity: 0.8-10mm(1/32-3/8"")
Torque settings: 18+1+1
Integrated LED work light
Include:
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
2 Pcs 1.5Ah battery pack(TBLI12153)
Battery charging port:USB type-C
Charger sold separately
Packed by carrying case",12200,TOTAL,Power Tools
TIDLI12206,Cordless impact drill,"Voltage: 12V
No-load speed: 400/0-1500rpm
Max impact rate: 22500bpm
Max torque: 20Nm
Plastic chuck
Chuck capacity: 0.8-10mm(1/32-3/8"")
Torque settings: 18+1+1
Integrated LED work light
Include:
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
2 Pcs 1.5Ah battery pack(TBLI12153)
Battery charging port:USB type-C
Charger sold separately
Packed by carrying case",12200,TOTAL,Power Tools
TBLI12151,Cordless battery pack,"Voltage:12V
Lithium-Ion 1.5Ah battery
LED battery power indicator
Suitable for 12V multiple tools
Packed by color box",4800,TOTAL,Batteries & Chargers
TDLI1218,Cordless drill,"Voltage:12V
No-load speed:0-750rpm
Max torque:20Nm
Plastic chuck
Chuck capacity:0.8-10mm
Torque settings:15+1
Integrated LED work light
LED battery power indicator
Include:
1 Pcs Cr-V 65mm bit
1 Pcs 1.5Ah battery pack(TBLI12151)
1 Pcs charger(TCLI12071)
Charge Volts:220-240V~50/60Hz 
Packed by color box",9300,TOTAL,Power Tools
TFBLI1620,Cordless battery pack,"Voltage:16V
Lithium-Ion 2.0Ah battery
One battery fits all M16 multiple tools
Packed by color box",4600,TOTAL,Batteries & Chargers
TFCLI1613,M16 Battery charger,"Input voltage: 220-240V
Output voltage: 16V
Output current: 1.3A
Packed by color box",2400,TOTAL,Batteries & Chargers
TOSLI240968,Cordless 2 pcs combo kit,"Voltage: 16V
With 1pcs compact brushless cordless drill(TDLI16681)
With 1pcs cordless impact driver(TIRLI161781)
Compact brushless cordless drill(TDLI16681):
Brushless motor
No-load speed: 0-550/0-2000rpm
Max torque: 60Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1
Auto-lock keyless chuck
Mechanical 2-speed gear
Spindle lock function
Cordless impact driver(TIRLI161781):
Brushless motor
Hex shank:6.35mm
No-load speed: 0-2700rpm
Impact rate: 0-3500bpm
Max torque: 170Nm
Include:
3 Pcs nut setters(6,8,10mm)
2 Pcs screwdriver bits
2 Pcs M16 2.0Ah battery pack(TFBLI1620)
1 Pcs M16 charger(TFCLI1613)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",35000,TOTAL,Power Tools
TRHLI16168,Cordless rotary hammer,"Voltage:16V
No-load speed:0-850rpm
Impact rate:0-5100bpm
Impact energy:1.8J
Max drilling capacity:Φ18 in concrete
SDS plus chuck system
Integrated LED work light
Include:
3 Pcs drills
2 Pcs M16 2.0Ah battery pack(TFBLI1620)
1 Pcs M16 charger(TFCLI1613)
Packed by carrying case",29700,TOTAL,Power Tools
